Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
09/27/2023,01/01/2020,09/23/2023,FL,Martin County,3,12,85,12085,Distribution of all-cause deaths (%),8672,838,0.908,0.038,,0.005,,0.046,0.002,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Martin County,3,12,85,12085,Distribution of COVID-19 deaths (%),8672,838,0.834,0.072,,,,0.08,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Martin County,3,12,85,12085,Distribution of population (%),8672,838,0.778,0.05,0.002,0.015,0.001,0.141,0.013,Medium metro,
09/27/2023,01/01/2020,09/23/2023,FL,Miami-Dade County,1,12,86,12086,Distribution of all-cause deaths (%),92819,10942,0.179,0.175,0,0.009,,0.634,0.002,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Miami-Dade County,1,12,86,12086,Distribution of COVID-19 deaths (%),92819,10942,0.116,0.172,,0.009,,0.701,0.002,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Miami-Dade County,1,12,86,12086,Distribution of population (%),92819,10942,0.135,0.153,0.001,0.015,0,0.689,0.007,Large central metro,
09/27/2023,01/01/2020,09/23/2023,FL,Nassau County,2,12,89,12089,Distribution of all-cause deaths (%),2999,147,0.924,0.045,,0.006,,0.02,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Nassau County,2,12,89,12089,Distribution of COVID-19 deaths (%),2999,147,0.898,,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Nassau County,2,12,89,12089,Distribution of population (%),2999,147,0.862,0.058,0.003,0.01,0.001,0.049,0.016,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,FL,Okaloosa County,4,12,91,12091,Distribution of all-cause deaths (%),8408,721,0.86,0.076,0.003,0.019,,0.032,0.009,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Okaloosa County,4,12,91,12091,Distribution of COVID-19 deaths (%),8408,721,0.824,0.087,,0.024,,0.054,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Okaloosa County,4,12,91,12091,Distribution of population (%),8408,721,0.726,0.097,0.005,0.031,0.002,0.1,0.04,Small metro,
09/27/2023,01/01/2020,09/23/2023,FL,Okeechobee County,5,12,93,12093,Distribution of all-cause deaths (%),1745,151,0.86,0.049,0.009,,,0.076,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Okeechobee County,5,12,93,12093,Distribution of COVID-19 deaths (%),1745,151,0.748,0.099,,,,0.119,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Okeechobee County,5,12,93,12093,Distribution of population (%),1745,151,0.621,0.084,0.009,0.009,0.001,0.265,0.011,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,FL,Orange County,1,12,95,12095,Distribution of all-cause deaths (%),43805,3794,0.557,0.19,0.001,0.03,0.001,0.217,0.004,Large central metro,
09/27/2023,01/01/2020,09/23/2023,FL,Orange County,1,12,95,12095,Distribution of COVID-19 deaths (%),43805,3794,0.451,0.21,,0.034,,0.298,0.004,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Orange County,1,12,95,12095,Distribution of population (%),43805,3794,0.391,0.202,0.002,0.055,0.001,0.329,0.019,Large central metro,
09/27/2023,01/01/2020,09/23/2023,FL,Osceola County,2,12,97,12097,Distribution of all-cause deaths (%),12015,1322,0.474,0.115,0.001,0.025,0.001,0.381,0.003,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,FL,Osceola County,2,12,97,12097,Distribution of COVID-19 deaths (%),12015,1322,0.348,0.121,,0.023,,0.504,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Osceola County,2,12,97,12097,Distribution of population (%),12015,1322,0.296,0.098,0.002,0.028,0.001,0.56,0.015,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,FL,Palm Beach County,2,12,99,12099,Distribution of all-cause deaths (%),65308,6172,0.758,0.123,0.001,0.01,0,0.105,0.003,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,FL,Palm Beach County,2,12,99,12099,Distribution of COVID-19 deaths (%),65308,6172,0.618,0.191,,0.011,,0.175,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Palm Beach County,2,12,99,12099,Distribution of population (%),65308,6172,0.533,0.188,0.002,0.029,0,0.234,0.014,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,FL,Pasco County,2,12,101,12101,Distribution of all-cause deaths (%),26779,2128,0.881,0.035,0.001,0.011,,0.068,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Pasco County,2,12,101,12101,Distribution of COVID-19 deaths (%),26779,2128,0.822,0.043,,0.015,,0.112,0.006,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Pasco County,2,12,101,12101,Distribution of population (%),26779,2128,0.716,0.06,0.003,0.029,0.001,0.171,0.02,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,FL,Pinellas County,1,12,103,12103,Distribution of all-cause deaths (%),52545,3734,0.857,0.079,0.001,0.014,0,0.044,0.005,Large central metro,
09/27/2023,01/01/2020,09/23/2023,FL,Pinellas County,1,12,103,12103,Distribution of COVID-19 deaths (%),52545,3734,0.813,0.098,,0.021,,0.061,0.004,Large central metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Pinellas County,1,12,103,12103,Distribution of population (%),52545,3734,0.735,0.104,0.002,0.035,0.001,0.103,0.02,Large central metro,
09/27/2023,01/01/2020,09/23/2023,FL,Polk County,3,12,105,12105,Distribution of all-cause deaths (%),30885,2928,0.768,0.118,0.001,0.008,,0.101,0.004,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Polk County,3,12,105,12105,Distribution of COVID-19 deaths (%),30885,2928,0.692,0.149,,0.008,,0.147,0.004,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Polk County,3,12,105,12105,Distribution of population (%),30885,2928,0.557,0.147,0.003,0.018,0.001,0.257,0.017,Medium metro,
09/27/2023,01/01/2020,09/23/2023,FL,Putnam County,5,12,107,12107,Distribution of all-cause deaths (%),3715,329,0.852,0.111,,0.003,,0.028,0.003,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Putnam County,5,12,107,12107,Distribution of COVID-19 deaths (%),3715,329,0.833,0.128,,,,0.033,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Putnam County,5,12,107,12107,Distribution of population (%),3715,329,0.71,0.158,0.004,0.006,0.001,0.104,0.016,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,FL,St. Johns County,2,12,109,12109,Distribution of all-cause deaths (%),7259,396,0.906,0.051,,0.008,,0.03,0.003,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,St. Johns County,2,12,109,12109,Distribution of COVID-19 deaths (%),7259,396,0.848,0.093,,,,0.04,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,St. Johns County,2,12,109,12109,Distribution of population (%),7259,396,0.813,0.052,0.002,0.034,0.001,0.079,0.019,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,FL,St. Lucie County,3,12,111,12111,Distribution of all-cause deaths (%),14701,1071,0.75,0.145,0.001,0.009,,0.091,0.004,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,St. Lucie County,3,12,111,12111,Distribution of COVID-19 deaths (%),14701,1071,0.632,0.197,,0.014,,0.15,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,St. Lucie County,3,12,111,12111,Distribution of population (%),14701,1071,0.552,0.205,0.002,0.019,0.001,0.203,0.019,Medium metro,
09/27/2023,01/01/2020,09/23/2023,FL,Santa Rosa County,3,12,113,12113,Distribution of all-cause deaths (%),4956,358,0.921,0.038,0.003,0.01,0.002,0.019,0.007,Medium metro,
09/27/2023,01/01/2020,09/23/2023,FL,Santa Rosa County,3,12,113,12113,Distribution of COVID-19 deaths (%),4956,358,0.899,0.042,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Santa Rosa County,3,12,113,12113,Distribution of population (%),4956,358,0.817,0.062,0.007,0.021,0.002,0.061,0.031,Medium metro,
09/27/2023,01/01/2020,09/23/2023,FL,Sarasota County,3,12,115,12115,Distribution of all-cause deaths (%),25516,2324,0.925,0.031,0.001,0.006,,0.034,0.003,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Sarasota County,3,12,115,12115,Distribution of COVID-19 deaths (%),25516,2324,0.894,0.037,,0.006,,0.06,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Sarasota County,3,12,115,12115,Distribution of population (%),25516,2324,0.825,0.043,0.002,0.018,0,0.097,0.014,Medium metro,
09/27/2023,01/01/2020,09/23/2023,FL,Seminole County,2,12,117,12117,Distribution of all-cause deaths (%),14313,1082,0.735,0.112,0.001,0.022,,0.126,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Seminole County,2,12,117,12117,Distribution of COVID-19 deaths (%),14313,1082,0.666,0.155,,0.02,,0.153,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Seminole County,2,12,117,12117,Distribution of population (%),14313,1082,0.581,0.116,0.002,0.05,0.001,0.229,0.022,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,FL,Sumter County,4,12,119,12119,Distribution of all-cause deaths (%),9950,738,0.936,0.03,0.001,0.006,,0.024,0.003,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Sumter County,4,12,119,12119,Distribution of COVID-19 deaths (%),9950,738,0.9,0.037,,0.014,,0.046,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Sumter County,4,12,119,12119,Distribution of population (%),9950,738,0.852,0.066,0.003,0.01,0.001,0.06,0.009,Small metro,
09/27/2023,01/01/2020,09/23/2023,FL,Volusia County,3,12,127,12127,Distribution of all-cause deaths (%),31432,2253,0.851,0.074,0.001,0.006,,0.064,0.004,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Volusia County,3,12,127,12127,Distribution of COVID-19 deaths (%),31432,2253,0.792,0.102,,0.01,,0.093,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Volusia County,3,12,127,12127,Distribution of population (%),31432,2253,0.701,0.105,0.003,0.019,0,0.155,0.018,Medium metro,
09/27/2023,01/01/2020,09/23/2023,FL,Walton County,4,12,131,12131,Distribution of all-cause deaths (%),2802,224,0.92,0.04,,0.007,,0.026,0.005,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Walton County,4,12,131,12131,Distribution of COVID-19 deaths (%),2802,224,0.871,0.045,,,,0.067,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,FL,Walton County,4,12,131,12131,Distribution of population (%),2802,224,0.841,0.051,0.006,0.012,0.001,0.064,0.024,Small metro,
09/27/2023,01/01/2020,09/23/2023,GA,Baldwin County,5,13,9,13009,Distribution of all-cause deaths (%),1848,225,0.631,0.354,,,,0.01,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Baldwin County,5,13,9,13009,Distribution of COVID-19 deaths (%),1848,225,0.591,0.391,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Baldwin County,5,13,9,13009,Distribution of population (%),1848,225,0.523,0.421,0.002,0.016,0.001,0.025,0.013,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,GA,Bartow County,2,13,15,13015,Distribution of all-cause deaths (%),4141,378,0.879,0.093,,0.004,,0.022,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Bartow County,2,13,15,13015,Distribution of COVID-19 deaths (%),4141,378,0.87,0.098,,,,,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Bartow County,2,13,15,13015,Distribution of population (%),4141,378,0.763,0.109,0.003,0.01,0.001,0.094,0.019,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,GA,Bibb County,4,13,21,13021,Distribution of all-cause deaths (%),11905,1239,0.536,0.443,,0.006,,0.011,0.003,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Bibb County,4,13,21,13021,Distribution of COVID-19 deaths (%),11905,1239,0.531,0.448,,,,0.016,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Bibb County,4,13,21,13021,Distribution of population (%),11905,1239,0.367,0.558,0.002,0.021,0.001,0.037,0.015,Small metro,
09/27/2023,01/01/2020,09/23/2023,GA,Bulloch County,5,13,31,13031,Distribution of all-cause deaths (%),2930,303,0.713,0.268,,,,0.014,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Bulloch County,5,13,31,13031,Distribution of COVID-19 deaths (%),2930,303,0.607,0.373,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Bulloch County,5,13,31,13031,Distribution of population (%),2930,303,0.63,0.291,0.002,0.013,0.001,0.045,0.018,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,GA,Carroll County,2,13,45,13045,Distribution of all-cause deaths (%),5639,688,0.838,0.142,,0.004,,0.015,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Carroll County,2,13,45,13045,Distribution of COVID-19 deaths (%),5639,688,0.828,0.137,,,,0.031,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Carroll County,2,13,45,13045,Distribution of population (%),5639,688,0.699,0.193,0.003,0.01,0,0.073,0.021,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,GA,Catoosa County,3,13,47,13047,Distribution of all-cause deaths (%),2330,129,0.965,0.023,,0.006,,0.005,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Catoosa County,3,13,47,13047,Distribution of COVID-19 deaths (%),2330,129,0.946,,,,,,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Catoosa County,3,13,47,13047,Distribution of population (%),2330,129,0.902,0.028,0.003,0.015,0.001,0.032,0.018,Medium metro,
09/27/2023,01/01/2020,09/23/2023,GA,Chatham County,3,13,51,13051,Distribution of all-cause deaths (%),15820,1579,0.619,0.344,0.001,0.01,0.001,0.024,0.002,Medium metro,
09/27/2023,01/01/2020,09/23/2023,GA,Chatham County,3,13,51,13051,Distribution of COVID-19 deaths (%),15820,1579,0.594,0.367,,0.01,,0.027,,Medium metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Chatham County,3,13,51,13051,Distribution of population (%),15820,1579,0.475,0.405,0.002,0.03,0.001,0.067,0.02,Medium metro,
09/27/2023,01/01/2020,09/23/2023,GA,Cherokee County,2,13,57,13057,Distribution of all-cause deaths (%),6369,497,0.912,0.043,,0.009,,0.035,0.002,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Cherokee County,2,13,57,13057,Distribution of COVID-19 deaths (%),6369,497,0.924,0.034,,,,0.038,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Cherokee County,2,13,57,13057,Distribution of population (%),6369,497,0.774,0.072,0.002,0.021,0.001,0.111,0.019,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,GA,Clarke County,4,13,59,13059,Distribution of all-cause deaths (%),7110,825,0.72,0.247,,0.007,,0.023,0.001,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Clarke County,4,13,59,13059,Distribution of COVID-19 deaths (%),7110,825,0.71,0.24,,,,0.042,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Clarke County,4,13,59,13059,Distribution of population (%),7110,825,0.554,0.277,0.002,0.039,0,0.109,0.019,Small metro,
09/27/2023,01/01/2020,09/23/2023,GA,Clayton County,2,13,63,13063,Distribution of all-cause deaths (%),5690,428,0.267,0.651,,0.033,,0.045,0.002,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Clayton County,2,13,63,13063,Distribution of COVID-19 deaths (%),5690,428,0.227,0.673,,0.042,,0.058,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Clayton County,2,13,63,13063,Distribution of population (%),5690,428,0.086,0.709,0.002,0.049,0.001,0.133,0.02,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,GA,Cobb County,2,13,67,13067,Distribution of all-cause deaths (%),23243,2081,0.706,0.224,0.001,0.02,,0.045,0.003,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Cobb County,2,13,67,13067,Distribution of COVID-19 deaths (%),23243,2081,0.634,0.251,,0.022,,0.087,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Cobb County,2,13,67,13067,Distribution of population (%),23243,2081,0.507,0.278,0.002,0.056,0,0.134,0.023,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,GA,Coffee County,5,13,69,13069,Distribution of all-cause deaths (%),1755,279,0.752,0.219,,,,0.027,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Coffee County,5,13,69,13069,Distribution of COVID-19 deaths (%),1755,279,0.706,0.251,,,,0.043,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Coffee County,5,13,69,13069,Distribution of population (%),1755,279,0.57,0.285,0.003,0.008,0,0.121,0.013,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,GA,Colquitt County,5,13,71,13071,Distribution of all-cause deaths (%),2151,249,0.74,0.219,,,,0.04,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Colquitt County,5,13,71,13071,Distribution of COVID-19 deaths (%),2151,249,0.671,0.225,,,,0.1,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Colquitt County,5,13,71,13071,Distribution of population (%),2151,249,0.546,0.234,0.002,0.008,0,0.199,0.01,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,GA,Coweta County,2,13,77,13077,Distribution of all-cause deaths (%),5107,504,0.748,0.218,,0.006,,0.027,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Coweta County,2,13,77,13077,Distribution of COVID-19 deaths (%),5107,504,0.688,0.248,,,,0.058,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Coweta County,2,13,77,13077,Distribution of population (%),5107,504,0.702,0.182,0.002,0.022,0.001,0.073,0.018,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,GA,Crisp County,5,13,81,13081,Distribution of all-cause deaths (%),1261,160,0.598,0.388,,,,0.013,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Crisp County,5,13,81,13081,Distribution of COVID-19 deaths (%),1261,160,0.5,0.462,,,,,,Micropolitan,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Crisp County,5,13,81,13081,Distribution of population (%),1261,160,0.493,0.444,0.002,0.01,0,0.039,0.013,Micropolitan,
09/27/2023,01/01/2020,09/23/2023,GA,DeKalb County,2,13,89,13089,Distribution of all-cause deaths (%),20954,1353,0.38,0.553,0.001,0.029,,0.033,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,DeKalb County,2,13,89,13089,Distribution of COVID-19 deaths (%),20954,1353,0.324,0.592,,0.034,,0.044,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,DeKalb County,2,13,89,13089,Distribution of population (%),20954,1353,0.294,0.535,0.001,0.065,0.001,0.084,0.019,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,GA,Dodge County,6,13,91,13091,Distribution of all-cause deaths (%),905,145,0.73,0.263,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Dodge County,6,13,91,13091,Distribution of COVID-19 deaths (%),905,145,0.662,0.338,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Dodge County,6,13,91,13091,Distribution of population (%),905,145,0.643,0.295,0.002,0.005,0,0.039,0.015,Noncore,
09/27/2023,01/01/2020,09/23/2023,GA,Dougherty County,4,13,95,13095,Distribution of all-cause deaths (%),5727,807,0.452,0.533,,0.004,,0.009,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Dougherty County,4,13,95,13095,Distribution of COVID-19 deaths (%),5727,807,0.4,0.585,,,,,,Small metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Dougherty County,4,13,95,13095,Distribution of population (%),5727,807,0.238,0.708,0.002,0.008,0.001,0.031,0.012,Small metro,
09/27/2023,01/01/2020,09/23/2023,GA,Douglas County,2,13,97,13097,Distribution of all-cause deaths (%),3224,249,0.596,0.358,,0.011,,0.03,0.004,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Douglas County,2,13,97,13097,Distribution of COVID-19 deaths (%),3224,249,0.518,0.414,,,,0.052,,Large fringe metro,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Douglas County,2,13,97,13097,Distribution of population (%),3224,249,0.358,0.494,0.003,0.016,0.001,0.106,0.023,Large fringe metro,
09/27/2023,01/01/2020,09/23/2023,GA,Emanuel County,6,13,107,13107,Distribution of all-cause deaths (%),985,118,0.69,0.293,,,,0.01,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Emanuel County,6,13,107,13107,Distribution of COVID-19 deaths (%),985,118,0.551,0.432,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Emanuel County,6,13,107,13107,Distribution of population (%),985,118,0.588,0.342,0.003,0.008,0,0.047,0.011,Noncore,
09/27/2023,01/01/2020,09/23/2023,GA,Fannin County,6,13,111,13111,Distribution of all-cause deaths (%),1272,112,0.991,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Fannin County,6,13,111,13111,Distribution of COVID-19 deaths (%),1272,112,0.991,,,,,,,Noncore,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/27/2023,01/01/2020,09/23/2023,GA,Fannin County,6,13,111,13111,Distribution of population (%),1272,112,0.944,0.007,0.004,0.006,0,0.027,0.013,Noncore,
